participant_id,geft_score,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85
P1,14,0.3308170629893605,-0.13587384049735451,-0.18116900715682027,0.2369656776132675,0.09393104669723658,0.03252254604701933,0.2096919586847923,0.3451608731017275,-0.11465601025058489,-0.0822746376025805,-0.03889436650094944,-0.05141447360805787,0.1593686931356941,0.11327297773426462,0.22026679985239825,-0.5012480923839044,0.19575700526312736,-0.07373923805713856,0.048492425152587317,0.10924148871156365,0.05198573981436218,0.02842887296342202,0.012225996666630625,0.022342423638365798,0.09405340449533822,-0.03275465759296473,0.11483143048593687,-0.07141652369021118,-0.04158740031570834,0.07592316985179717,-0.014090994266600064,0.013580913737087353,0.013541850331290912,-0.013221675244578767,-0.09400879346116274,0.009315635232233535,0.09083250301632902,0.00988522918661154,-0.07874539630863851,-0.0406619707303231,0.061626161825860386,-0.01851790058014293,-0.024259384445049353,0.05420376715490126,-0.10400975511977607,-0.028845756913047523,-0.0883559977818194,0.01208885792982192,-0.0184431170240811,0.025351725955911664,0.005656133278880325,0.026072344030899683,-0.04321486489245067,0.021166584759638382,-0.032068089200772934,0.001096211780731002,-0.04367001943653032,-0.03508896554849844,0.02798637350506053,0.020252741822200573,0.009271212262443125,-0.03525710028712921,-0.012475391675158829,0.009803220212688625,-0.06949388952335106,0.013831708766284435,-0.014729727056097803,0.018456364000872895,-0.028792339201073387,0.06263237839139447,-0.01908355018074352,0.11830011436105452,-0.03550143066532001,-0.17185860271748954,-0.05442339839001992,0.1413466559791816,0.07904454760849383,-0.03699302768040728,0.001914090410650967,0.0006563464095510083,-0.0014588866575356303,0.0031115641598505506,-0.0009832828786400971,-0.002119556300675585,0.0034423262409787056,-0.00015372917634406347
P8,18,0.29434764404042496,0.1427921476142366,0.0033011118620067644,0.09618226415808523,0.17964671220000816,-0.026827104079046166,0.08064416603441395,-0.14849878171659375,-0.015860341472757965,0.14877757099170397,0.12219495218200649,-0.08461991994732179,0.2014846049284436,-0.1522594561011406,0.2300116019506494,0.16610835961734824,-0.015250555495877142,-0.13659813068533383,0.03536000644743002,-0.1886472442887995,0.0415566707074459,0.19552557419861688,-0.05229498069787702,-0.0025076586434970563,-0.14756060749892447,0.32971468652738467,0.04902080176897544,-0.24630719455179256,-0.09684489692737347,-0.07768069548358035,-0.13375481781373413,0.09754758346231257,0.08842245497453724,-0.13083578183368588,0.043113749167081585,-0.010102703192439439,-0.032941584346232775,-0.00128745086482017,-0.012450229402052239,-0.11574866492662517,0.12972608526327978,0.03311191248924528,-0.1687544450680053,-0.03264506381253267,0.17987984179943298,0.013635300228443031,-0.13233695445565627,-0.077954747530247,0.08835460020119892,-0.02334038311645069,0.0721150736157985,0.060491437879321125,0.053405681237312014,0.14934075784959544,-0.08236687782944462,-0.028243681272652126,0.006068740997286279,-0.0319906566857094,0.0012546053757698807,-0.025649129121109095,0.07152441188388389,0.07052676980190213,0.0350408227267289,0.04954104672669001,-0.11038864657950666,-0.061911877321141874,0.17299159833958067,-0.009985616681185607,0.04636846525800104,0.020471247239298294,-0.02139142654400416,0.012658794740635316,0.05417306824753154,0.05044687567678444,-0.18094331959750198,0.0022056880164619238,-0.02131436158750943,-0.006797666869054529,-0.0046187781944381405,0.006516849071252159,0.0007547377248526214,0.0008427503572014949,0.0009333833424339734,0.00015705933376009034,-0.0008360880234654368,-0.00011997652873346268
P9,12,0.5873871348865896,0.49420316861175245,0.5488722102600587,0.0670685860601387,-0.1327512325679758,0.01221884780911305,-0.030217331467593443,0.049262713350522916,0.026367407611200655,0.0011115557848509654,-0.07231813073966463,0.05951937985418098,0.015518105356833312,0.09739212841300905,-0.07864198051561669,-0.041655758742204646,0.008282335473148269,0.031043768864297203,0.01610322202001926,0.07111679704158347,0.010604754398178722,-0.050830903089654184,0.02705535635078298,-0.006850725607481706,-0.009099463327663546,-0.03897803451435435,-0.04512986427900586,0.00337921924789039,0.017936196315202085,-0.003089316893505283,-0.016259843943883592,0.03446113624181732,-0.015487101162260394,-0.020428096205753015,-0.008605207605988374,-0.01547430573898106,-0.028823673537867835,-0.03415735028689526,-0.018917033899497393,0.029528408936098437,0.05326494103716272,0.009883701563234917,-0.025114655041360665,0.014743594299235743,0.0006782793090430497,-0.007218344672338465,-0.01466769803252625,0.0026635541428252363,0.005719441910704477,-0.012313312691387234,0.013267368427528152,0.014437477003456961,-0.01300982825741462,-0.004575493356169799,-0.004917003242181066,-0.010911622878714868,0.016506218923739397,-0.002132483671273193,0.007131173565344789,0.0018670603568654942,0.014356150344538014,0.0055483786786670155,0.005270499269182549,0.011802465336821203,0.01566732974513014,0.018778164150183563,-0.015381316209109909,-0.0036456464356652216,0.017224245649754232,0.0026575280192925915,-0.008071626973295018,-0.006953872769083055,0.014782894271052302,-0.0196317924447828,-0.002565357377083832,-0.003261394902540865,-0.006483310332277811,0.001052940935239041,0.007927532522681545,0.1606751923524469,0.009246198158017617,-0.008472309159560662,0.051799730542104044,-0.0039534086623104975,0.030575681456776367,0.001710227656791073
P27,17,0.4435083694895699,-0.1408457193116117,-0.07650505986885221,-0.07383902918713632,0.03709438296505864,0.0017897435032248482,-0.04395373031133708,-0.07748612101480094,0.0015507217966908243,0.07015872013385885,0.11092016925414037,0.030971659127035506,-0.08644220931033902,0.07921351979586165,0.03999976558073828,0.02317169963647917,0.15662153839907292,0.030882341767029132,-0.016515281286029398,-0.0981929836100267,0.061618876017684676,0.006336397747638382,-0.00785821035604355,-0.015872514177539824,0.0658650283162561,0.050078213305675176,-0.13313803942667815,-0.051206190933197046,0.06433453433168337,-0.09352121399716729,-0.09586272030056242,0.04815550160982755,-0.18657391956584687,0.03306008227694284,-0.09498036391652417,0.009131064299955227,0.07290673305642648,0.12269825653364347,-0.06587573161384222,0.010336268022801954,0.04537595745998302,-0.18225820421915287,-0.053112774392870606,0.23173924088180103,0.050046754636125144,-0.0908770111326141,0.07636214713398966,-0.05845164249320901,-0.15254743244696492,-0.00942628084418931,0.19873782646579596,-0.023779695191448284,-0.04427789790540206,0.010686498645604368,0.2565951895401679,0.2064552145326052,-0.0450175928349647,0.05549231684063294,-0.1786963612555167,-0.06754296662084028,0.15924906464510272,-0.0667028706406852,-0.0728941082512003,-0.02066757719863837,-0.12903668390376094,0.005361980728479584,-0.211170403944102,0.18137002373346833,0.06279494598216268,-0.24994281021698192,-0.05284623641579301,0.055629015611611744,0.11921686963941978,0.09060705114259011,-0.03152669126709079,0.04118263306784659,-0.004792990266021598,0.10632167458730808,-0.0432465207689212,-0.010263119681853639,0.0008592749764122061,0.00028030883595285143,0.0006951612905675836,-0.0005739484055641061,-0.00021807682294342168,-5.3610409297619115e-17
P10,10,0.29842862122728,0.24669497272210256,-0.08717389440107469,0.13868640367803722,-0.009132477134868566,0.03711617037600395,0.058855436994596985,-0.03300223125691486,-0.009352977355485247,0.09675693402939439,0.0007008995517291459,-0.10576888991408913,0.37892430680680445,-0.2364382813944456,0.2457119798250401,0.1879288912715882,-0.01699075334970567,-0.06583007115552802,0.26678708728467715,-0.11494336696457348,0.091117536076982,-0.1658331460047364,0.020977068067963796,-0.11763412494539642,-0.19864281652132765,0.013826853442848877,0.08725492952205918,0.2052602157854621,-0.09538303608609462,0.11776666185809412,0.06947621446489723,0.028945447792845806,0.020858947350450085,0.060041650050821606,-0.023271530877403048,-0.07586271493940425,0.12288670407945679,0.13590413563650514,-0.009231412612894044,-0.05335218373915415,-0.13983617871187248,-0.02556361879490003,0.1267278403827629,-0.029344288391977256,0.041250309573288894,0.031313323601981004,0.037922266454413066,0.0724944978582009,-0.17357599199321433,-0.03099827650977202,-0.03889506963561237,-0.07867845527785597,-0.08636897360573209,-0.14922143275312602,0.059545924054423514,0.10340002767236284,0.05260325388887649,0.024392629419393633,0.005712032749349211,0.10973427683430517,-0.056602758495475296,-0.08781768202072275,-0.06825459963192752,-0.002167760773830992,0.028248790062835327,0.0899962351650657,-0.043247578923223416,0.044078581113542924,-0.08525856048331835,0.0001705940762437971,0.0498008353098757,0.022553391322991004,-0.07624567584021137,0.01004288334478613,0.07081971094428838,-0.05094376004368269,0.0107963775195,0.02100407688562705,0.006275143233357179,0.009543717334421137,-0.0008698919675792626,-5.972649135717952e-05,-5.945584623892503e-05,-8.34233252942399e-05,-0.0018329858312875833,0.0003553038635312517
P11,16,0.4006798695824854,-0.07385444340101968,-0.12663775600386426,-0.0496018337736422,0.12244055894428944,-0.02340859550617421,-0.3562927016294322,0.11490477261398314,0.3615072112240884,-0.10913062074774353,0.1964399384177927,-0.056191188971265085,0.22580644225040272,-0.08352543343279507,-0.11680947236843235,0.055535045887858216,0.0011942499012050419,0.03077122742939795,0.20545436109379567,-0.01859244974729449,-0.11224822597291571,0.10559266298645249,-0.0024496196799372407,0.015697035784842626,0.18121017113330223,-0.09755028247925708,-0.016349608407048712,-0.011168058210958518,0.07027022110484589,-0.04187627474622368,-0.011631730394529657,-0.210276330720512,-0.05170751103816725,0.05019203993557879,-0.0674944345028272,0.05871528537635894,0.040581692790521526,0.010848657060860977,-0.03582501936544417,-0.010618655291037745,-0.028378893935423543,-0.07224317838581787,0.004652588133393307,0.08471255257527033,-0.028286347049419614,0.05829714362387161,0.01398969078036293,0.09852826384038321,0.10336054886904468,-0.060186210387084056,0.08402841982661233,0.17198139223483713,-0.10959875040926163,-0.047426725741762016,-0.06885171355135046,-0.06520521337087232,0.07864554657821865,-0.04303141516993158,0.003916213080644474,0.023238882145538525,-0.09051879796929947,0.1274395305489711,0.038797849882150015,0.12842944751763044,0.07168111112503442,-0.005366299964978966,0.09217063478065783,-0.0016360309066748733,0.024885595368738515,-0.016873237344526358,-0.011244598435076922,0.013421775188839098,-0.01835487256694409,-0.0053169729893038,0.005015834630459665,0.028422998554695746,-0.006756817777889204,0.023723448836188012,-0.23189090869524367,0.010793420775360258,0.001631667752243817,0.0003130159003669672,0.0011574534271766661,-0.00014155890019607108,-0.0011388421389505014,0.0013229488518060508
P13,17,0.4746402092308645,-0.17831684953391375,-0.05037967218440321,-0.16214240105789873,0.023714991766698196,-0.15935879856986718,-0.2591858539523801,0.006997997439792079,0.0735822183795898,0.06702493703396167,0.32563437056137157,0.14845530983295468,0.03751429536311552,0.0528449515047255,-0.05951954944271798,-0.1321456926983476,0.1461343218597779,-0.015492277853180313,-0.04070059274904168,-0.15711879584475807,-0.06765786717328201,0.020840108208673786,-0.01739279567999592,0.09188087320890005,-0.14829447898665443,0.05944102762774282,0.055468899905764174,0.039874159604809445,0.029744781662526084,0.028470051516362144,0.14235371731016272,0.0060453664159495005,-0.01666856988330653,0.10157651226144933,0.05128493393008032,-0.03408164307227433,-0.14794116293884493,-0.006518019999104452,-0.04281891556021302,0.1908889033770406,-0.004450571067140932,0.07718054150948125,0.06437790701869266,-0.08474166125634393,7.483605115630719e-05,-0.08325224062246796,0.016350869623791942,-0.07180784952578784,-0.02607349466566118,0.03363492357558345,-0.07082515858231003,0.19472295229171743,-0.07420437002105036,-0.0709955376872176,0.018383272566959635,-0.05606559623855482,-6.323465094278875e-05,-0.06198237000923053,0.1431928581284708,0.10052421754872261,0.06564855192645071,-0.11152068112525958,0.11092627222184327,0.018974490659788044,-0.09772112596539637,-0.06597903919495098,-0.0694902530162296,-0.08297086879952133,-0.17452418168851017,-0.05695171901707709,0.07474322220674617,-0.001776423408885304,-0.015312919646173016,0.026188243859407812,-0.08777887740493134,-0.066721485585948,0.009047708819825875,0.04088920144416583,0.19243711856864673,-0.005991987815744206,-0.010914272906219045,0.004000236665394799,0.002174286208709288,-0.0018002915261808702,-0.0026792694318128786,-0.0001619778212052867
P14,9,0.3242031685628337,-0.17420220982601448,0.07907257650333331,-0.5867723516258735,0.11244196601703726,0.6461953859974944,0.11929990116566655,-0.06739407193754453,-0.07238392424083308,-0.06932717844324801,-0.03534506872126909,-0.06329925079493276,0.0523024327914754,-0.00700736133270656,0.00947463788077739,-0.019271092944552776,-0.04699750211598002,0.02853971164108939,0.054322356327076646,0.006448273283669335,0.02932644955249338,0.029971280400776828,-0.0037987944307436485,0.02717040464426381,-0.0011285875231985907,-0.015286478482215513,0.0025338611116900354,-0.013566211316347132,0.028568511030909925,0.006375374609966614,0.005590653569638697,0.01069644904260835,0.020813578609034742,-0.03388430704693303,0.007550245625937553,-0.017960250540685396,0.002995929438991437,-0.017423742060463213,0.012045109793869661,-0.0307093269599848,0.0012472012211012249,-0.0039539357914021725,0.0526022045454725,0.004401166944102948,-0.016457432866679278,0.0305495290181298,-0.023865234798628367,0.049521826378544964,0.006767679907405987,0.014310709922440306,-0.01979418736582392,0.0015019119869660246,0.056081506194690045,0.03332573158974166,-0.002553140274449712,-0.038845378403525845,0.012397662962716492,-0.011240409490292924,0.02498298747809452,0.014958193912653867,0.048354446399387546,-0.02697382109126818,0.054575335098044214,-0.010093896437200947,0.0005589262567116382,0.028277477074292928,0.022987084725848067,0.0243226219220091,-0.019611979758266868,-0.053344758685919445,0.05333804149721673,0.0034032708668996054,-0.02369742495544706,-0.0074316597689190345,0.009820739987507475,-0.008057673370189181,0.025250633458394393,-0.01419680943589931,0.0048140221888206425,0.0012157353153862567,0.052341644276224425,-0.005030708888593213,-0.001097201115309424,-0.0015550831379085054,-0.0010989464020933618,0.0019077081950736948
P15,16,0.4339821054056667,-0.1971394252954875,-0.03985004962152144,-0.30465758201014886,-0.018371012432662787,0.08153820298895086,0.10414417258024858,-0.05623835400765565,0.10601708305340724,0.10732743922232867,-0.07522963817607449,-0.09470984891844904,-0.052055015011062446,0.0455216934877135,0.05927572940907398,0.04217504557366569,0.2138653561608145,-0.21402390822018139,-0.03315492989275883,0.11575657125036572,-0.1500201409260777,-0.00791802755289522,0.017375717564810288,0.0037411215754718746,-0.056158750820043346,-0.0010522103054064855,0.04173755169710986,0.2129427238855876,-0.13998454461273513,0.0587721506144828,-0.08763247469439393,0.01805354967004604,-0.07826355167707873,0.00010615555067934318,0.09105488632278527,0.04758220209746418,-0.013150605345740847,-0.020605128163606067,0.03612775272885463,0.14448557697055336,0.032285614215360886,0.08626881099502387,-0.052907305620495185,-0.016883981224929748,-0.0021033892755153625,-0.016998390255463056,-0.007776763229146705,-0.15860017396808662,0.08007916677535135,-0.1498115331837417,0.06854235618454708,-0.01964899261815727,-0.07389546373073339,-0.1067571810476102,0.025613818040453446,0.1667790935110803,-0.03702677771593649,0.11176332077545481,-0.02207214191321799,-0.03166445372909281,-0.2046097642260909,0.09711003208554815,-0.1413497335791076,0.04046552105026395,0.025871403778335106,-0.10796402350810635,-0.07014750644386916,-0.15213546071353592,0.11148726530672359,0.22717727799129725,-0.18054449924979343,0.025097575161844066,0.046667923715871196,-0.0016266837467227909,-0.033879874835275894,-0.013833404657755413,-0.11944933409352744,-0.011166441704905829,0.0025616584439601482,0.0033659563345836757,-0.001505884208502972,-0.0038979484470684283,0.0024495273181241394,0.00191769037405112,-0.004068440178555683,0.0029591404993897547
P16,0,0.44320422022392464,-0.18836728835974312,-0.05678763434443166,-0.36833770016371975,-0.18038994000829894,-0.5277223533164395,0.41322130290111325,0.003322961788656832,0.12499431714717751,0.10493983314099949,-0.16136969433030462,-0.05364642476360011,0.03960944635330356,0.015535773048622385,-0.0726616720232951,-0.008707360231335172,-0.1666597806043185,0.07153254244821453,0.0773442633573548,-0.014780408779267108,-0.05576020450424552,0.03194120703426241,-0.014441925791806547,0.04876034248498502,0.0039033214817341105,-0.042600659749229816,-0.01069845149920887,-0.08186365930191797,0.005920023052675028,-0.018313171782908207,-0.029297409940181443,0.0018353645133234167,0.05683744000562779,-0.03374546191465618,-0.023506544916404686,-7.451273248205657e-05,0.03743762482604866,0.008336000291877381,-0.02015942425472788,-0.03416019268825704,-0.047964503711892356,-0.011743783765755467,0.038306748367899345,-0.026255070427461013,-0.022132731590374544,0.04628683887937473,0.040560421003633405,0.0650715531817488,-0.01694620263015889,0.029121378804139175,0.006718564412131359,0.002007240820656083,0.0395727686862056,0.02075731097222198,-0.0016105817912976904,-0.010473016636225536,0.023000573464957968,0.006663505241408512,0.006781193968614465,0.015118771648892042,0.013015621760183256,-0.008627584476355797,0.018668953003120322,0.0020103144112265407,-0.009112905756798177,0.01578695849248375,0.018502477271992262,-0.0007517875915571504,-0.013821381844793902,-0.01845876017045209,0.011620643961695803,0.003593295103173572,0.0018381326931444211,0.018293305241370628,0.004385169299111711,0.014637674804359948,0.0012895931424148736,0.0030601773650730073,0.005422488295420651,-0.0051533585103362,0.0007295195909633259,-0.00015978145679437214,-0.0005873898861298278,-0.03440032759388025,0.0005835708475126534,-0.000255710513849008
