prompt_id,turn,participant_id,geft_score,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85
prompt_01,turn_01,P1,14,0.2903661900221946,-0.12434287049587811,-0.16465559844766803,0.2104957387025092,-0.006761560914618875,0.03730171501543762,0.1760244793165483,0.21927355787058378,-0.1457692017696018,-0.06404231184422218,-0.023601685180789315,-0.027689345858954086,0.1768762351137999,0.05242362245609978,0.1453484206312097,-0.34263734010027386,0.2492183777987646,-0.020927739181529025,0.02286266958864863,0.07498305864776578,-0.036986086237255994,0.015977489711214047,0.05583545155726528,0.06548856506287366,0.13177497630114735,-0.05972409412430909,0.1282620626018388,-0.08992199637307012,-0.0769662525282059,0.05434616506141976,-0.0023291196992011164,0.029226794090621087,0.007335707065099253,0.03351569611054425,-0.1079335159069034,-0.048125728312047096,0.11163255938407599,-0.020504987027690182,-0.06804804634825458,-0.06358151098098093,0.061380210610008305,-0.012542867188733495,-0.013096914693230276,0.008009166197844083,-0.11362789397973358,0.00768568885546107,-0.12641100067771013,0.02684563228930059,-0.03141972318941415,0.04163352907267642,0.04971582497502833,-0.03733152010918784,-0.03548682038771033,-0.002950214372482324,-0.01625535795634836,-0.056620167920901666,0.03888460210003466,-0.14960263300467577,0.06041133635224114,0.04172455152632206,0.06706793697217737,-0.06782212375027458,-0.02993030916879923,0.03141794511977077,-0.13576692229338994,-0.0034187279164169053,-0.09357216214770972,0.044991958970748945,-0.01054724030522115,0.11190274233117393,-0.12298753935572596,0.21680741158331962,-0.07216864079337408,-0.3214041620101159,-0.11977834351314162,0.21045382788278486,0.1391056721825652,-0.05936317445043293,-0.0032711878377904486,0.0008162113585185653,-0.0013906908827559083,0.00025867923320775784,0.0004258321442849069,-0.0003313334377294974,-0.0002675739122527596,-3.2907230000829537e-18
prompt_02,turn_02,P1,14,0.10463312197669236,-0.006580487542542517,-0.03526972885267514,0.14412109884760974,0.28386549767295055,0.03927472571415144,0.21475330489965375,0.10701408675595851,0.1795381145201577,0.005385541029664124,0.07063351907810783,-0.046095638058371594,-0.21150035393353273,0.1378221774742257,0.03632278211113022,-0.3871661609470974,-0.19097261226187356,-0.19380039263765134,0.14300319727268088,0.06083890747435907,0.1471023345516558,-0.06839967271672222,-0.11150666687063762,-0.11816597493314465,-0.0227133335797289,0.036729113935562184,0.011864882211210282,0.032349673394677744,0.04735812728641625,0.032564405209601334,0.11231258572648967,0.00993940243849805,-0.03272532439119189,0.09008982250521104,0.0355356169065588,0.06011062848935485,0.0021556711519281602,0.04031835536561216,0.0010368287361712917,0.025261914135940793,-0.10666468216471045,0.02637838427701079,0.10898791652075918,0.0043009223271471275,0.10700442192516738,0.0024523566261760213,-0.001885720164301286,-0.008723730541314279,0.03931512880253496,-0.08470485423445268,0.11730743641774442,-0.03621495743465729,-0.03446768315839781,-0.06608536963568314,-0.037083463764382554,0.0290063998209333,0.009173262384994439,-0.24161676279014177,-0.05019890235335233,0.16161126693016256,0.06894999632011457,0.1803969208177753,-0.011889665604107192,-0.1772368052274296,0.06061518514349886,0.05765215531414678,-0.020335618375554594,0.033835157375808875,0.14393663157490016,0.0945515439381646,0.25124763515525306,0.031946963697905326,0.15286755241951025,0.09464576160326452,-0.16320339462209316,-0.02668991226265335,-0.03714468927517369,-0.013740487131920519,-0.0074868115060771675,-0.00015969677183803443,0.0012173630764469856,8.592312654359926e-05,-0.00044152013281706484,0.00037300791385756163,0.0001381481404367692,4.9737774662772516e-17
prompt_03,turn_03,P1,14,0.09740975314612807,-0.02074946410377063,-0.07083781977874742,0.11639189091912466,0.02180903511008492,0.057703790006836335,0.134555854232659,0.11070196724761971,0.15878992552334015,0.01176936243456225,0.0317204032750455,0.029482487032447824,-0.16716592536677397,0.117160018328886,0.13388199806392784,-0.3209163069818121,-0.22434045029026334,-0.21593136518961212,0.23979247060476316,0.1342758092468601,0.0903808123322249,-0.03250900451912829,-0.17612043716725828,-0.0695589231445842,-0.15804556347558035,0.20206323412148094,-0.010868127786564973,0.1791657620523436,0.08251862310651192,0.020607358650713527,0.03831937506680524,-0.14444508914961207,-0.01582397946560828,-0.045465876520369805,-0.11183656297890462,0.14897100650752756,-0.18844690076007703,0.08835738290654585,-0.0735409264460633,-0.12086413438913932,0.07075318960260987,-0.08350928739034556,-0.114005217647339,0.1004258828299205,-0.14121621564397455,-0.02393958990643116,-0.09219840339683337,0.010424904354782041,-0.020655480894852373,0.03497541831902563,-0.09024931168383124,0.12752127590700832,0.05309531682614472,0.0674447860104748,-0.026638058785158906,0.012876345277211827,-0.19861319208504263,0.1804449968051507,-0.033870768797379484,-0.043758991473424075,-0.06075880486559536,-0.0762156997903747,-0.056918821780457145,0.1494058230421731,-0.07241731278290307,0.003481418665760516,0.09168070930156179,-0.03487537995290508,-0.14225241323660123,-0.11639765147692957,-0.14609854754246498,-0.06036458824375343,-0.09750171241571828,-0.03364410026398405,0.09430883279176383,-0.004858079538477136,0.01291678086552701,-0.004719123103344285,0.0014944866013394142,-0.0017121852714722234,0.00041787699004507204,-0.00035520891902800526,0.00021969464971358083,0.0022698769990011675,-7.677002635714891e-05,8.212831456577695e-18
prompt_04,turn_04,P1,14,0.17761869756844104,-0.08603425874853174,-0.09178696212031373,0.04188229315609067,0.10377519571036418,-0.06887106595734103,0.04866981308067035,0.24174009038752003,-0.178545814119331,-0.032957480322700704,-0.06985606885064766,0.05227794226372274,0.2692385111859569,0.030108095433893596,0.22595588175483616,-0.2983858443993479,0.24783072708639986,0.06258805384016286,-0.15228377510078422,0.03394768275373232,0.14461438548447306,0.08852701527314843,0.06186969676764857,0.037313058388052475,0.0437474082575871,-0.08909755154242485,-0.03468408229826465,-0.03875003114972957,0.03752344554206616,0.0910144223412657,-0.14050180847721755,0.038923030311478535,0.04658260835081807,-0.19126346609674996,0.056594400033969906,0.03222883367208549,0.12635870961988924,-0.021705082535671393,-0.019215601539545886,0.01460984892750394,0.014030613388948884,-0.03343841644375234,-0.06766167054023194,0.08083552425892947,-0.03171687329415504,-0.0878546199841238,0.0783076749219017,-0.007870943654445515,0.005471749849957506,-0.021832557370565126,-0.12129694694568259,0.1945534041539479,-0.16156864931417705,0.11325260100107633,-0.06439768760903623,0.14566345954393145,-0.09457058365442526,0.23609041509911985,-0.013719652646000832,-0.09038053566198115,-0.12973504812435532,0.007626147407602798,0.10948886664294273,-0.12939901258113257,0.14684445741572746,0.0858593527537601,0.10691298553215373,-0.025033324572439265,-0.008700711128844857,0.008696421825949844,0.2565591738901071,-0.023850641302312407,0.05697013075734897,0.11104294442532876,0.06978742489984567,0.02105159257471706,-0.033722005603993375,0.0109889176897375,0.013591662442211426,0.008898967036003545,-0.0005442216446279118,-4.2435501110388054e-06,-1.5017405256215103e-05,0.00015839782182885303,0.00016523841061797634,2.008484524529395e-17
prompt_05,turn_05,P1,14,0.1656204962059398,-0.03232571970889819,-0.051242431364076114,0.10007497773070986,0.1197421939454586,-0.0029946032419691086,0.0264798631690929,0.4233237009161921,-0.1022730302001512,-0.21945997205942402,-0.09364337695426786,-0.23679989433848353,0.11137869698665083,0.11461296772136853,0.08266759475169057,-0.1590825732261052,0.11392693981465402,-0.03496023695463883,0.07703832500745901,0.005231461349691812,0.013999937902703381,0.04199496212442588,0.06438664552875094,-0.023074177553830802,0.07423303617592308,-0.07772131460320814,0.19515790317154114,-0.28149122879860616,-0.13349184045462306,-0.007540797850994315,0.04031107553305987,0.05024969924481474,0.013364066520026618,0.11792771532561033,-0.072439832232486,-0.016797292084674665,0.031617383374647964,0.021897589350392592,-0.016145290722843084,0.16869405584040603,0.08153251977966701,0.10823744465475615,0.09353655813066789,0.008722366349516453,0.05135410916336719,-0.00769560180417533,0.005614538957366399,-0.03397347479496733,0.006756629253754748,0.06759374007038817,0.05321051335934494,-0.19890653095042699,0.1828409814372009,-0.0689439933929127,0.10480779329152916,-0.08992823918862151,0.0042885784091546905,-0.01093685663315223,0.023402328584516775,0.012258002436936578,0.02407589309543317,0.0348288509115666,-0.06315412322114877,0.14169282405612613,-0.029482341330020412,-0.12435628162063167,0.05745823597743914,-0.040335893166832046,-0.03927696833540296,-0.10202057504011139,-0.10081388559506219,-0.22046037990466913,-0.0011596408183669016,0.2122719740006733,0.12839330783535213,-0.17466697688413071,-0.08997859075272312,0.041602643978042475,0.007755812031119266,-0.004146928672380867,-0.00043546214422141667,-0.0006408201508709652,-0.00054958346989854,-7.880015846211357e-05,6.99331007852637e-05,-7.573152174811248e-17
prompt_06,turn_01,P2,15,0.10019519774487927,-0.05073726883215324,-0.058564341469628904,0.14295363263669408,-0.03283565755498628,0.1968052284140674,0.21095486870552818,0.2956605688975541,0.4159201404560539,-0.015209022358157806,-0.011903697090144305,0.23971328686279383,-0.1715487733582167,0.08038354259128236,0.13204129577205,0.19357779250065335,0.0164496448844312,-0.05530620256469172,-0.033170981193268716,-0.1988998620635966,-0.04822719583590121,0.0359485171666848,0.06339256738044217,0.07203141872963989,-0.114684746986273,-0.12676626421545498,-0.10882601129663301,-0.07966870034220827,0.048110035733436474,0.06940404220182672,-0.08118434404305501,-0.10806955401540896,-0.06875975277835372,-0.05295648114100265,-0.00864365166577407,-0.14448311770589745,0.04060521630562259,0.0004262044702524516,0.12004526755183333,-0.04330942329325541,0.04868832953390356,0.023843499569865107,0.07406310565077084,-0.045117145215748326,0.045903944647794404,-0.030006868970545653,-0.0277861356350564,-0.10097249623134184,-0.055625728148564854,0.11863431375427115,0.007226762431923972,-0.04189381508840229,-0.04589802093630623,-0.017447443392464457,0.0390494460316389,-0.041239415063687924,0.003329837594012934,0.0764116982155146,-0.02702470468785694,-0.03507497319963,-0.0022316227239543222,-0.004175729937512873,-0.025418542975788674,0.00541848594134935,0.04335836658676404,-0.05639449260199144,0.04176932515751274,-0.08120901450116447,0.00615531952718477,0.12458765847056416,0.019965996154581445,-0.03206247042822753,0.042395439920506636,0.07877815178101642,0.005895981723838639,-0.03480075908290409,0.43530697107578514,0.08612781643449166,-0.0022470489560693406,0.003666749408446143,-0.00013458487302328356,0.001536881234877359,0.0006257593553090551,-0.0001895537802864674,5.321471526671452e-05,-2.0383000842727486e-17
prompt_07,turn_02,P2,15,0.1419621318162259,-0.07816810650784686,-0.052359620790203766,0.1983309689571456,-0.13767423525035194,0.16032408223374045,0.2706103223810891,0.11540369391513584,0.2178612572781384,-0.0698271879127813,0.11299094498926275,0.16135631957521038,-0.06494961687083164,-0.0591400504185435,-0.10042376311310251,0.18637135124792947,0.16206488865147484,0.14108982845850232,-0.046592132755024336,-0.08032660693807865,0.08828860840164329,0.06806894758922702,0.08198491490011463,-0.02520730481987075,0.05735637490583009,0.0023500883993229113,0.08344697083286888,0.017845835942254865,-0.10236717957730938,-0.04671189807746567,0.02971835522102134,0.06410932893330218,0.0898162991609163,0.047192749781724955,0.007544568103011458,-0.014814811307458892,0.04307627443001199,-0.05345098938279665,-0.04097958169652954,0.051469174880892726,0.0026173009887196248,-0.05194386640020051,-0.08153691310904032,0.046591569332104336,-0.0009939250937642202,0.05231708312085043,0.12402404792345624,0.23176838743932576,0.05242793485361927,-0.2652801388586212,-0.11519094648194128,0.06711246433131823,0.17641786923976405,-0.22690967880397084,-0.24138353174517174,0.02873139541828546,-0.34673582418344695,0.06375577336262156,0.09946957599045196,0.06290805570622028,0.1741142372585801,0.014963872753726208,-0.13855280391345126,-0.08263240001446225,-0.1089469525090025,0.023180266814744617,0.005687492204620132,-0.028080202173103114,0.03313599448315773,-0.061291052538715356,0.007366786929146455,-0.02511164438803846,0.011494332276451432,0.0009955516340756304,-0.018096952118341652,0.03198883654244891,-0.05809686762490472,-0.0063103187585683475,-0.004100626962307486,0.0022938403651086726,0.00020438704697359745,-0.00023871970025033312,-0.00026026844552684065,-2.324872142995889e-05,-2.6576650275922567e-05,-2.0599841277224572e-17
prompt_08,turn_03,P2,15,0.1853957217929054,-0.09800224226059437,-0.03998459980284034,-0.04313332936234155,0.12329586001591235,-0.09893876048908613,0.16332686634482524,0.02371143579354264,-0.32823177878787413,-0.1322957065329279,0.3115478166338961,0.27618029535213245,0.13967237080077896,0.3814951558165254,0.059836501059958705,0.26549599214672814,-0.10979795215643928,-0.09689151852350564,0.04570803271039321,0.11350114801049271,0.014544987433104953,-0.0010664352896844064,-0.003756845630378656,-0.02529327521934907,0.06308381401050654,-0.0002440423198126795,-0.012566971642791537,0.002551298707207065,-0.001768882516557167,0.008705699229407988,0.00023415628033036194,0.0006321872610944652,-0.005712799690227322,-0.0002602224942594716,-0.006984904875982537,-0.004727445587136247,-0.008013421015748106,0.017215064261067878,0.0009951331541195678,0.00788938215790925,-0.008615727468094962,-0.010575853468456463,0.012643999874096774,0.029535351079053158,-0.01194078619284614,-0.02043075441146,0.0054965336366064295,0.05459860215132998,0.017280763094781982,-0.01867960569359734,0.010136232760348082,-0.0430840067309422,-0.035799965770339455,0.06139027997128502,-0.0016533440529625449,-0.08272272789703684,-0.06588478759278973,0.03973326651952545,0.012504647606171327,-0.07459089080616756,0.05664702770138053,0.06856400902704089,0.010474324140336222,-0.017028895522851605,0.11553020427591994,0.11429080380786913,0.003672631605368155,0.031276899177537884,0.028885407489803876,0.06170875441538433,-0.05206672574227299,0.05352423981935243,0.05384562375147162,-0.2664134538978478,-0.010365307769816,-0.3870998857263913,-0.02565993956787989,0.13395089541598332,-0.03145806172340996,-0.0086040217290661,-0.01597386364182961,0.0011998198995568329,0.00013552026454063094,-0.00022912180369288792,-0.00013629702336142438,-2.3039296165316972e-17
prompt_09,turn_04,P2,15,0.10129261314804905,-0.06761534565424591,-0.09129146428053368,0.2658329690010763,-0.13794657294160811,0.2666101969943967,0.31516178719826154,0.1676944809652847,0.31518087865348243,-0.005856331555785244,0.016685435183860793,0.28827548542685094,0.011264977068511406,0.04563418155577802,-0.023102724836143975,0.0485604642149031,0.005245453842089063,-0.03553343850334038,-0.09825965801044147,-0.1954368894921124,-0.12611052945772785,-0.10697761580932143,0.030160015290894866,0.07421990514683315,-0.06520036923347257,-0.06734365248188197,-0.05172786738629716,-0.06852376650733717,0.023959894919670894,0.061478545877046695,-0.034762235725510245,0.00383172746259027,-0.011344814557005409,-0.03659220808815256,-0.028176698766474613,-0.05408159936857882,0.022451020911981423,0.033115883421455355,0.08588504352125255,-0.049716159993736554,-0.03204401169021192,0.10130883560994362,0.049659359065002205,-0.14111035498816887,-0.02229624127182216,0.010411239834391971,-0.051949892858245764,-0.10398838081053717,0.027909203076366657,0.09729572175396295,-0.05824628218370398,0.0008735154906008266,-0.1563055085433817,0.14234270546813452,0.01377876730001136,0.009538576476463405,0.10186438368208565,-0.09092774537642467,-0.05712271152211212,-0.03531972598383388,-0.0556231886204417,0.05193775899877371,0.05841811893880133,0.037831470999440286,-0.011685686595668075,0.010398251999997993,-0.029999639276603006,0.10840244169248478,0.01289587936340513,-0.18208958172662637,-0.01386096373270957,0.012716485299583248,-0.09510046229966651,-0.06536346208458918,0.03198329107423125,0.012859736034759863,-0.41667271170396325,-0.06696845628990346,0.003001014173872854,-0.00926810163972124,0.00010535420469451605,-0.0033394999921902047,-0.0016596479405924728,-0.0001036212661219792,-0.00016121837329794702,-1.8214596497756478e-17
prompt_10,turn_05,P2,15,0.08646481840361665,-0.06094749813957508,-0.03131155104851364,0.1404466834735737,-0.09618943771937134,0.060975611465256666,0.2334180609403764,0.05836255902462928,0.15118661296539945,-0.11697612234061507,0.12507150209044493,0.11742293743308702,-0.1794047590340088,-0.10997169409062885,-0.09161510863802866,0.03552449780028365,0.17209429387031336,0.13766949286015753,0.09148214535776437,0.026808448547173295,0.33445159080395653,0.14688433331474945,-0.046700268027198566,-0.010513685621369437,0.13039378271552826,0.12144426498950765,0.13096762534959755,0.22493584358660562,-0.09779079753884312,-0.10495750703962509,0.09490763179820816,0.13301977782479343,0.1657138198367284,0.026921918005995894,0.09202701997411962,-0.005828623576044842,-0.02180114426216509,-0.041364238132387085,-0.15812628161900055,0.11226885572376248,-0.07418572640325938,-0.025524225321117443,-0.1041925535238076,0.0033231877504238186,0.0036076655986166844,0.05495368512495338,-0.08816560589525743,0.1469982754237721,0.1018666426360723,-0.024692636609490427,0.04670368182272512,0.046068502168614966,0.06231968365759101,0.23789820027693775,0.22924895098189482,0.05846130021905766,0.3306033216446065,-0.026860966681177614,0.06260296637885275,-0.08482911818866112,-0.12153422913157441,-0.09124745013537854,0.04429926572205425,0.012166055411084498,0.09563130027300344,-0.0006586977977013153,-0.028822641536596152,0.013267656947148931,-0.07022225765853317,0.0691759972110752,-0.0464247908799563,0.01270202413609183,0.03805422718613962,0.06609027530718702,0.02410994019037007,-0.04421465048875069,0.040337269924107196,0.031397677855745196,0.0018293364647629777,0.0038813545238037296,7.858381191781986e-05,0.00021884164315994948,-3.019266077225632e-05,-0.0002745333004925842,3.669162815919769e-05,-6.906367838732663e-17
